==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
26.233,-80.309,-83.198,1868.966
26.300,-81.344,-83.533,2246.698
26.367,-82.252,-83.932,1965.320
26.433,-83.322,-84.399,1860.952
26.467,-83.721,-84.637,1877.750
26.500,-84.242,-84.896,1974.444
26.533,-84.692,-85.172,2253.991
26.567,-85.132,-85.465,1928.891
26.633,-86.009,-86.107,1976.940
26.667,-86.453,-86.447,2203.935
26.700,-86.787,-86.798,1983.117
26.767,-87.612,-87.539,1940.703
26.867,-88.888,-88.740,1988.561
26.900,-89.252,-89.165,2148.105
26.933,-89.711,-89.602,1906.908
26.967,-90.180,-90.052,2193.638
27.000,-90.574,-90.512,2225.186
27.033,-90.979,-90.980,2064.486
27.067,-91.352,-91.457,2220.868
27.100,-91.777,-91.944,1997.994
27.200,-93.005,-93.475,2156.078
27.233,-93.412,-93.994,1996.500
27.267,-93.771,-94.519,2034.374
27.300,-94.227,-95.054,2139.770
27.333,-94.571,-95.593,2299.927
27.367,-94.962,-96.138,2209.531
27.400,-95.423,-96.692,2251.221
27.467,-96.116,-97.863,2174.396
27.533,-96.901,-99.066,2006.951
27.567,-97.362,-99.644,2219.158
27.600,-97.798,-100.228,2379.473
27.633,-98.196,-100.818,2331.973
27.667,-98.555,-101.411,1973.488
27.733,-99.202,-102.708,2179.810
27.800,-99.971,-104.033,1985.860
27.833,-100.413,-104.638,2216.035
27.867,-100.815,-105.247,2054.812
27.900,-101.242,-105.861,2276.168
27.933,-101.699,-106.482,2144.999
28.000,-102.502,-107.902,2295.824
28.067,-103.367,-109.348,2277.750
28.167,-104.606,-111.672,2198.214
28.233,-105.345,-113.172,2052.928
28.267,-105.764,-113.797,2303.502
28.333,-106.519,-115.334,2094.064
28.367,-107.001,-115.962,2404.016
28.400,-107.539,-116.600,2226.218
28.500,-108.793,-119.161,2089.774
28.567,-109.670,-120.782,2377.195
28.633,-110.568,-122.425,2120.823
28.667,-111.064,-123.054,2134.672
28.733,-111.852,-123.715,2092.347
28.767,-112.367,-123.364,2079.519
28.800,-112.920,-123.058,2118.629
28.833,-113.406,-122.792,2466.499
28.867,-113.892,-122.565,2162.703
28.933,-114.785,-122.487,2149.655
29.067,-116.369,-122.812,2168.749
29.100,-116.795,-122.779,2491.317
29.167,-117.498,-122.979,2169.741
29.200,-117.905,-123.019,2365.109
29.233,-118.273,-123.084,2493.554
29.267,-118.743,-123.176,2456.722
29.333,-119.458,-123.568,2412.262
29.367,-119.884,-123.724,2224.513
29.400,-120.314,-123.903,2116.803
29.433,-120.690,-124.102,2536.318
29.467,-121.038,-124.321,2429.135
29.500,-121.470,-124.560,2235.191
29.533,-121.824,-124.817,2476.891
29.567,-122.200,-125.092,2245.517
29.633,-122.952,-125.787,2551.775
29.667,-123.321,-126.109,2531.755
29.700,-123.663,-126.446,2368.334
29.733,-124.064,-126.798,2163.572
29.767,-124.489,-127.167,2303.509
29.800,-124.950,-127.553,2536.048
29.833,-125.370,-127.954,2293.074
29.867,-125.776,-128.369,2240.921
29.900,-126.244,-128.800,2596.885
29.933,-126.672,-129.245,2213.959
29.967,-127.071,-129.702,2160.639
30.033,-127.812,-130.740,2512.861
30.100,-128.629,-131.826,2246.576
30.133,-129.031,-132.332,2601.175
30.200,-129.806,-133.488,2419.033
30.233,-130.166,-134.018,2449.257
30.267,-130.621,-134.560,2410.434
30.300,-131.016,-135.111,2616.375
30.333,-131.411,-135.670,2360.340
30.367,-131.832,-136.239,2336.123
30.400,-132.268,-136.817,2392.716
30.433,-132.678,-137.404,2486.282
30.500,-133.520,-138.766,2314.918
30.567,-134.365,-140.166,2361.988
30.600,-134.806,-140.781,2251.198
30.667,-135.530,-142.237,2649.821
30.767,-136.663,-144.601,2695.208
30.800,-137.159,-145.231,2450.474
30.833,-137.653,-145.870,2714.583
30.900,-138.489,-147.450,2456.023
30.967,-139.428,-149.064,2464.469
31.033,-140.256,-150.707,2462.652
31.067,-140.803,-151.366,2591.410
31.100,-141.326,-152.035,2406.795
31.133,-141.856,-152.713,2383.340
